Ref,Val,Package,PosX,PosY,Rot,Side
"ACP220","PINHD-1X7","1X07",205.543000,-126.004400,0.000000,top
"ADD_BAR_A1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",170.821200,-142.971600,0.000000,top
"ADD_BAR_B1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",179.609600,-142.870000,0.000000,top
"AIO_A1","TERMBLOCK_1X3","TERMBLOCK_1X3-3.5MM",117.430400,-143.174800,0.000000,top
"AIO_B1","TERMBLOCK_1X3","TERMBLOCK_1X3-3.5MM",129.546200,-143.098600,0.000000,top
"BTOOTH1","PINHD-1X6","1X06",224.008800,-106.802000,90.000000,top
"BUMPER1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",166.350800,-67.127200,180.000000,top
"BUTTON1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",160.229400,-143.098600,0.000000,top
"CN1","MA08-1","MA08-1",83.953200,-75.306000,0.000000,top
"CN2","MA08-1","MA08-1",105.848000,-75.382200,0.000000,top
"CN3","MA08-1","MA08-1",128.504800,-75.534600,0.000000,top
"CN4","MA18-2","MA18-2",157.968800,-102.179200,90.000000,top
"CN5","cn5","MA08-1",133.686400,-134.996000,0.000000,top
"CN6","MA08-1","MA08-1",110.674000,-134.818200,0.000000,top
"CN7","MA08-1","MA08-1",88.728400,-135.123000,0.000000,top
"D1","1N4004","DO41-10",178.619000,-90.088800,180.000000,top
"HC12","PINHD-1X5","1X05",187.763000,-86.075600,90.000000,top
"HOOK_A1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",74.961600,-66.822400,180.000000,top
"HOOK_B1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",83.699200,-66.720800,180.000000,top
"HOOK_C1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",92.487600,-66.822400,180.000000,top
"J1","KF25C-7.62-2P","KF25C7622P",226.400000,-124.580000,-90.000000,top
"LAS_IN_A1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",85.299400,-143.174800,0.000000,top
"LAS_IN_B1","TERMBLOCK_1X2","TERMBLOCK_1X2-3.5MM",105.746400,-143.149400,0.000000,top
"LAS_OUT_A1","TERMBLOCK_1X3","TERMBLOCK_1X3-3.5MM",74.860000,-143.251000,0.000000,top
